index, rv_x, r_vy, r_vz
70, 6.618238e-01, 2.711467e-01, 2.411384e-01
71, 5.215607e-01, 2.805485e-01, 7.751553e-02
72, 4.077758e-01, 4.984516e-01, 2.841517e-01
73, 2.935454e-01, 3.414461e-01, 4.381760e-01
74, 3.375605e-01, 9.439055e-02, 4.414744e-01
75, 5.999028e-01, 5.005787e-01, 3.183975e-01
76, 3.621303e-01, 2.828569e-01, 3.706797e-01
77, 3.165372e-01, 1.743406e-01, 3.481824e-01
78, 1.887000e-02, 1.330749e-02, 5.695584e-01
79, 1.036958e-01, 7.847291e-02, 7.578594e-01
80, 2.379977e-01, 1.959867e-01, 5.588663e-01
81, 4.932829e-01, 2.813944e-01, 5.461326e-02
82, 6.066414e-01, 5.974942e-02, 4.418704e-01
83, 2.168136e-01, 4.374829e-01, 5.166838e-02
84, 2.497335e-01, 6.309803e-01, 2.855444e-01
85, 5.715191e-02, 4.420777e-01, 6.383781e-01
86, 3.261781e-02, 2.263895e-01, 7.762277e-01
87, 1.551914e-01, 4.535365e-01, 2.971357e-01
88, 4.586892e-01, 2.937458e-02, 5.404707e-01
89, 2.505396e-01, 1.828030e-01, 4.713851e-01
90, 2.598521e-01, 1.639748e-01, 5.708316e-01
91, 3.395235e-01, 4.089704e-01, 1.617234e-03
92, 4.956169e-02, 5.455871e-01, 3.013327e-02
93, 1.323007e-01, 4.522026e-01, 6.470151e-01
94, 3.475891e-01, 1.913198e-01, 6.597051e-01
95, 1.476726e-01, 2.035158e-01, 6.759606e-01
96, 1.896167e-01, 2.266533e-01, 4.681937e-01
97, 4.301205e-02, 4.626810e-01, 5.592777e-01
98, 9.878556e-02, 2.389127e-02, 8.215384e-01
99, 1.780686e-01, 2.796759e-03, 4.823249e-01
100, 2.403743e-01, 1.554304e-01, 7.985639e-01
101, 7.068232e-02, 1.926822e-01, 6.346651e-01
102, 5.872770e-01, 5.206004e-01, 3.083113e-01
103, 2.799675e-01, 1.264369e-01, 4.436078e-01
104, 7.252608e-01, 2.958130e-02, 3.168843e-01
105, 4.161177e-01, 1.161705e-01, 3.540070e-01
106, 7.868007e-01, 1.536273e-01, 1.787103e-01
107, 3.954029e-01, 7.265590e-01, 8.598177e-03
108, 4.612734e-01, 5.262554e-01, 7.322001e-02
109, 9.206988e-02, 6.947616e-01, 2.101158e-01
110, 6.658810e-02, 4.227081e-01, 2.438640e-01
111, 1.483878e-01, 2.506502e-03, 6.961314e-01
112, 4.041239e-02, 3.791159e-01, 6.828719e-01
113, 7.335448e-01, 7.147289e-02, 1.658529e-01
114, 7.022460e-03, 4.949379e-02, 8.035473e-01
115, 4.362707e-01, 3.018770e-01, 2.198974e-01
116, 3.271195e-02, 1.581970e-02, 4.891100e-01
117, 2.660791e-01, 2.188859e-01, 2.974461e-01
118, 2.491367e-02, 1.002985e-01, 7.070646e-01
119, 5.696153e-01, 8.318866e-03, 3.927484e-01
120, 7.307126e-02, 9.563827e-02, 7.339896e-01
121, 2.201102e-01, 2.422621e-01, 7.516865e-01
122, 1.937393e-01, 1.201257e-01, 3.985868e-01
123, 1.779947e-02, 3.019403e-02, 4.977455e-01
124, 8.838696e-02, 8.934817e-02, 6.666984e-01
125, 1.088949e-01, 3.533483e-01, 7.088835e-01
126, 2.679456e-01, 1.654290e-01, 6.544241e-01
127, 3.618561e-01, 2.865987e-01, 4.494942e-02
128, 1.080132e-02, 2.739753e-03, 6.788087e-01
129, 2.702340e-03, 3.008898e-01, 4.584277e-01
130, 5.706296e-01, 1.637106e-01, 4.059646e-01
131, 5.939540e-02, 4.308442e-01, 3.880003e-01
132, 9.599168e-04, 5.108238e-02, 6.033902e-01
133, 3.764442e-02, 4.508261e-01, 9.057949e-02
134, 3.771960e-01, 1.829310e-01, 2.333795e-01
135, 3.428026e-01, 1.945492e-01, 4.445135e-01
136, 2.789041e-01, 1.189511e-01, 6.545477e-01
137, 3.623338e-02, 1.325893e-02, 6.899398e-01
138, 1.405624e-01, 5.650590e-01, 3.502702e-01
139, 4.163677e-01, 2.475608e-01, 2.312466e-01
140, 3.788320e-01, 2.460375e-01, 3.703342e-01
141, 6.393459e-01, 3.038066e-01, 5.806163e-02
142, 2.985838e-01, 5.009446e-01, 4.172158e-01
143, 4.656694e-01, 2.100282e-01, 5.485033e-01
144, 1.848950e-01, 1.068444e-01, 4.652188e-01
145, 2.638338e-01, 2.180396e-02, 5.728669e-01
146, 7.905679e-02, 2.596680e-02, 6.921142e-01
147, 1.000105e-01, 3.604715e-01, 3.626857e-01
148, 3.603295e-01, 2.726748e-01, 2.781893e-01
149, 3.910984e-01, 2.971100e-01, 3.193312e-01
150, 3.123333e-01, 2.526556e-02, 6.348221e-01
151, 5.666177e-02, 3.434818e-01, 4.417341e-01
152, 2.512611e-01, 2.675171e-01, 3.029792e-01
153, 1.721368e-01, 4.614958e-01, 1.664818e-01
154, 5.449287e-02, 5.644188e-01, 2.380504e-01
155, 7.114106e-02, 6.834600e-01, 3.979866e-01
156, 6.061520e-01, 8.362741e-02, 2.547224e-01
157, 1.661697e-01, 6.913621e-01, 5.819851e-02
158, 3.407441e-01, 6.948661e-01, 2.601370e-01
159, 3.210306e-01, 2.759566e-01, 2.836648e-01
160, 1.502258e-01, 8.338461e-02, 7.242423e-01
161, 7.294234e-01, 2.439776e-01, 1.154791e-01
162, 5.539953e-01, 1.741473e-01, 5.452689e-01
163, 1.682486e-01, 2.481663e-01, 6.607426e-01
164, 4.696901e-02, 3.618327e-01, 4.804613e-01
165, 3.007376e-01, 2.170363e-02, 6.891128e-01
166, 3.522388e-02, 1.217881e-01, 8.115307e-01
167, 5.565553e-01, 1.189943e-02, 4.206614e-01
168, 3.864237e-01, 2.680142e-01, 7.231163e-01
169, 4.662025e-01, 1.644340e-01, 4.397958e-01
170, 1.719210e-01, 1.107870e-01, 5.752717e-01
171, 9.829186e-02, 3.634425e-01, 4.881419e-01
172, 6.570861e-01, 3.670497e-01, 1.328792e-01
173, 6.533648e-02, 2.049257e-01, 5.177929e-01
174, 1.404936e-01, 1.206236e-01, 6.511191e-01
175, 1.153482e-01, 5.076050e-01, 3.406089e-01
176, 2.770720e-01, 2.466283e-03, 5.939006e-01
177, 6.735015e-01, 9.722618e-02, 5.066790e-01
178, 1.889795e-03, 4.362699e-03, 5.332342e-01
179, 1.657327e-01, 7.394847e-01, 2.711315e-01
180, 4.263211e-02, 5.030794e-01, 6.381427e-01
181, 1.867489e-01, 6.759174e-01, 9.856000e-02
182, 5.543876e-01, 1.834287e-01, 4.991471e-01
183, 1.681672e-01, 1.165401e-01, 5.741845e-01
184, 6.113093e-03, 2.706281e-01, 7.552726e-01
185, 6.096939e-02, 2.859201e-01, 3.933642e-01
186, 2.888632e-01, 5.169127e-01, 4.218720e-01
187, 3.091686e-02, 1.316512e-01, 8.017007e-01
188, 3.436212e-01, 3.413231e-01, 3.750635e-01
189, 3.641573e-02, 2.927114e-01, 4.489183e-01
190, 4.020054e-01, 3.890633e-01, 3.337057e-01
191, 1.476397e-01, 4.968202e-01, 5.159439e-01
192, 4.457039e-01, 2.148522e-01, 1.739399e-01
193, 2.826627e-02, 6.183379e-02, 8.006423e-01
194, 3.996673e-01, 4.606296e-01, 4.714864e-01
195, 4.958378e-01, 1.417710e-03, 6.871846e-01
196, 2.668260e-02, 1.308030e-01, 4.945109e-01
197, 5.535689e-01, 2.205198e-01, 3.920319e-04
198, 1.813268e-01, 5.864540e-01, 9.341806e-02
199, 1.032594e-01, 5.020307e-01, 4.214640e-01
200, 1.736502e-01, 3.037789e-01, 3.592629e-01
201, 1.348280e-01, 7.795962e-02, 4.984465e-01
202, 1.693906e-01, 5.839852e-01, 3.429936e-01
203, 4.348434e-01, 3.593983e-02, 6.697187e-01
204, 6.392219e-01, 1.950764e-01, 2.412630e-01
205, 1.786424e-01, 1.238422e-01, 4.606402e-01
206, 6.067122e-01, 9.359830e-02, 1.508470e-01
207, 4.312755e-01, 2.200727e-02, 2.614658e-01
208, 3.465286e-02, 2.142294e-01, 6.922892e-01
209, 2.641144e-02, 1.343926e-02, 5.275231e-01
210, 2.485748e-01, 5.160953e-01, 5.101317e-01
211, 6.448317e-01, 3.280569e-01, 7.213014e-02
212, 5.180398e-01, 3.008427e-01, 4.227051e-01
213, 1.696900e-01, 3.040069e-01, 7.536880e-01
214, 3.154071e-02, 8.519006e-03, 5.148806e-01
215, 5.251723e-01, 2.266316e-01, 1.210157e-01
216, 4.523710e-01, 3.978522e-01, 1.674169e-01
217, 1.300366e-01, 4.210304e-01, 6.546380e-01
218, 2.796759e-03, 4.137618e-02, 7.412394e-01
219, 4.964991e-02, 4.999047e-01, 5.638922e-02
220, 1.771676e-01, 1.888433e-01, 5.257008e-01
221, 7.891843e-01, 1.065412e-01, 3.599693e-02
222, 3.539119e-02, 5.799814e-01, 1.356266e-01
223, 5.837605e-01, 5.470453e-01, 2.240603e-01
224, 5.285642e-01, 3.055620e-01, 1.695116e-01
225, 3.496130e-01, 1.496221e-01, 6.723195e-01
226, 4.480297e-01, 3.041894e-01, 3.624326e-01
227, 6.616632e-01, 1.298208e-02, 5.184450e-01
228, 2.968764e-02, 2.875888e-02, 7.479451e-01
229, 4.455662e-01, 2.145752e-01, 5.560004e-01
230, 2.863247e-02, 2.555031e-02, 5.956083e-01
231, 2.476655e-01, 1.906043e-01, 5.443418e-01
232, 2.089582e-01, 3.790455e-01, 2.399602e-01
233, 6.189554e-02, 1.727301e-01, 6.375124e-01
234, 7.435689e-02, 4.858701e-01, 9.322707e-02
235, 3.084279e-01, 3.016933e-01, 5.607952e-01
236, 2.439308e-01, 1.779001e-01, 6.813137e-01
237, 1.505817e-01, 6.143810e-01, 5.470740e-01
238, 4.155362e-03, 2.887378e-03, 8.259445e-01
239, 5.620578e-03, 1.284840e-02, 7.253999e-01
240, 4.847174e-01, 1.251275e-01, 9.081705e-02
241, 2.965563e-01, 3.163021e-01, 2.799501e-01
242, 5.224331e-01, 1.686484e-01, 2.397077e-01
243, 2.220557e-02, 2.645494e-02, 4.988264e-01
244, 6.106234e-02, 3.352757e-02, 5.380101e-01
245, 6.820665e-02, 3.781016e-03, 7.025195e-01
246, 5.143728e-01, 1.780853e-01, 6.735077e-01
247, 7.129609e-02, 6.013730e-01, 4.627160e-01
248, 1.887274e-01, 5.425709e-01, 3.271382e-01
249, 1.567209e-01, 1.054298e-01, 6.686663e-01
250, 4.091861e-01, 4.574233e-01, 1.321080e-01
251, 3.712237e-01, 1.052152e-01, 3.356269e-01
252, 5.212496e-01, 5.481041e-02, 1.417338e-01
253, 4.568899e-01, 7.702466e-02, 5.802825e-01
254, 4.958406e-01, 2.160250e-01, 4.848359e-01
255, 4.713873e-01, 4.796914e-02, 3.211018e-01
256, 8.199424e-02, 2.414545e-01, 7.618113e-01
257, 6.726128e-02, 5.529380e-01, 6.386502e-01
258, 2.306183e-01, 3.155102e-01, 6.422680e-01
259, 3.490123e-01, 6.217309e-01, 3.774927e-01
260, 4.642169e-01, 4.937488e-02, 3.193098e-01
261, 1.341551e-01, 4.371418e-01, 4.802223e-01
262, 5.812870e-01, 2.901933e-01, 2.478375e-01
263, 2.029997e-01, 4.197843e-01, 5.601729e-01
264, 1.853135e-01, 3.947460e-01, 3.313454e-01
265, 2.962623e-01, 2.669250e-01, 5.252578e-01
266, 2.832345e-01, 6.821596e-03, 6.245321e-01
267, 7.459390e-01, 2.593018e-02, 6.831337e-02
268, 4.300654e-01, 5.779468e-02, 6.671272e-01
269, 2.363660e-01, 1.697452e-01, 6.282312e-01
270, 4.790274e-01, 1.875899e-01, 6.493988e-01
271, 5.887347e-01, 4.873133e-01, 2.217481e-01
272, 2.784190e-01, 6.441551e-01, 3.219240e-01
273, 2.523610e-02, 1.862043e-02, 8.283082e-01
274, 3.084122e-01, 6.110520e-01, 1.461479e-01
275, 1.623302e-01, 5.193898e-01, 1.246771e-01
276, 5.185895e-01, 1.376744e-01, 1.653998e-02
277, 8.198730e-03, 1.603009e-01, 5.072595e-01
278, 8.187044e-02, 2.543948e-01, 3.899240e-01
279, 3.940063e-01, 2.636782e-01, 2.670846e-01
280, 1.920383e-01, 1.086346e-01, 8.279210e-01
281, 5.847597e-02, 4.516181e-01, 3.665164e-01
282, 3.525572e-01, 7.122901e-01, 3.888133e-03
283, 4.205520e-01, 1.236114e-01, 1.669113e-01
284, 3.065304e-01, 9.655206e-02, 7.706896e-01
285, 8.211615e-02, 2.959079e-02, 6.128445e-01
286, 2.158503e-01, 5.164750e-01, 6.206397e-02
287, 1.898314e-01, 3.922479e-01, 2.693295e-01
288, 2.760165e-01, 4.279888e-01, 2.659557e-01
289, 1.255661e-01, 3.614678e-02, 5.232133e-01
290, 2.759927e-01, 3.747764e-01, 5.804044e-01
291, 9.772088e-02, 4.857014e-01, 4.303000e-01
292, 3.839648e-01, 2.810084e-01, 3.662243e-02
293, 3.094382e-01, 3.768529e-01, 5.827171e-02
294, 4.171175e-01, 5.187126e-01, 5.226771e-01
295, 1.980856e-01, 5.255103e-01, 3.549130e-01
296, 1.886651e-01, 3.831147e-02, 7.228992e-01
297, 7.451108e-02, 1.813267e-01, 6.811083e-01
298, 9.640115e-02, 2.122625e-01, 7.789054e-01
299, 1.438103e-01, 1.791572e-01, 4.342492e-01
300, 1.362017e-01, 1.722465e-01, 5.936330e-01
301, 2.465373e-01, 5.829449e-01, 4.522514e-01
302, 3.365483e-01, 1.037367e-01, 7.802641e-01
303, 1.285992e-01, 3.340514e-01, 5.397735e-01
304, 2.201525e-02, 7.323164e-03, 6.791947e-01
305, 3.383760e-02, 4.149944e-01, 6.032048e-01
306, 2.263253e-01, 1.871447e-01, 7.097070e-01
307, 2.256245e-01, 1.412106e-01, 4.714554e-01
308, 5.582158e-01, 5.732684e-02, 6.264549e-01
309, 1.677449e-02, 1.936225e-01, 7.806168e-01
310, 7.710317e-02, 1.434143e-01, 6.178066e-01
311, 3.857888e-01, 4.061327e-02, 7.300227e-01
312, 6.693733e-02, 6.080889e-01, 1.671737e-01
313, 1.322843e-01, 5.148481e-01, 6.132866e-01
314, 2.270750e-02, 4.340638e-01, 3.716472e-01
315, 3.817018e-01, 2.618396e-01, 1.893632e-01
316, 5.587862e-01, 5.009823e-01, 3.079008e-01
317, 2.418143e-02, 5.795129e-01, 3.774387e-01
318, 2.203933e-01, 5.077254e-01, 7.231944e-02
319, 6.328643e-01, 5.369443e-01, 1.129116e-01
320, 3.836291e-01, 2.953939e-01, 4.080803e-02
321, 6.122871e-01, 2.423333e-01, 1.005082e-01
322, 1.818561e-01, 3.810772e-02, 4.099130e-01
323, 2.556829e-01, 6.346241e-01, 1.641909e-01
324, 2.719811e-01, 2.221963e-02, 6.362523e-01
325, 3.431033e-01, 1.622906e-01, 5.378937e-01
326, 4.588185e-01, 6.726810e-01, 2.552349e-01
327, 7.262808e-02, 4.149230e-02, 4.496466e-01
328, 4.557616e-01, 5.116853e-01, 1.224275e-01
329, 2.274492e-01, 5.597033e-01, 3.716232e-01
330, 3.432674e-01, 2.697975e-01, 5.098287e-01
331, 3.211949e-01, 3.226032e-01, 2.528389e-01
332, 8.688887e-03, 8.893094e-02, 6.320361e-01
333, 2.680384e-01, 3.493701e-01, 4.163485e-01
334, 3.768485e-01, 1.395969e-02, 3.420285e-01
335, 5.681420e-01, 5.322765e-01, 2.362305e-01
336, 1.057368e-01, 1.089580e-01, 4.923788e-01
337, 1.636667e-01, 3.116017e-01, 7.786521e-01
338, 1.167448e-01, 4.285009e-01, 3.605601e-01
339, 1.783045e-01, 2.092791e-01, 3.888016e-01
340, 2.979216e-01, 1.123386e-01, 5.499875e-01
341, 7.044288e-01, 4.614560e-01, 6.136746e-02
342, 2.039317e-02, 4.921615e-01, 3.072403e-01
343, 2.213056e-01, 2.589983e-01, 4.062366e-01
344, 9.918577e-02, 7.505759e-02, 8.319578e-01
345, 3.317466e-02, 2.511736e-02, 4.845077e-01
346, 4.587689e-01, 8.489069e-02, 3.386053e-01
347, 1.720442e-01, 2.847119e-01, 5.226266e-01
348, 3.735843e-01, 3.376664e-01, 3.141943e-01
349, 9.918958e-03, 7.411755e-01, 2.857479e-01
350, 1.005155e-01, 6.941276e-01, 1.710918e-01
351, 7.132991e-01, 2.755875e-01, 5.448322e-02
352, 1.266275e-02, 1.282732e-02, 4.616155e-01
353, 4.984987e-01, 2.061632e-01, 1.393714e-02
354, 3.700533e-01, 5.521054e-02, 3.234996e-01
355, 9.712683e-02, 4.646844e-01, 5.382801e-01
356, 5.848610e-02, 1.922525e-01, 6.374954e-01
357, 1.635457e-01, 4.293549e-01, 7.040116e-01
358, 3.270311e-01, 4.506547e-01, 4.609500e-01
359, 7.450587e-02, 5.431041e-03, 4.896342e-01
360, 6.379288e-02, 7.242016e-01, 9.022833e-02
361, 1.183319e-01, 3.038230e-02, 7.965109e-01
362, 3.568650e-01, 3.788917e-01, 5.057968e-01
363, 2.799856e-01, 2.508047e-01, 5.220996e-01
364, 7.675861e-02, 2.687045e-01, 6.986159e-01
365, 1.541333e-01, 3.160522e-01, 3.380114e-01
366, 1.905605e-02, 2.668673e-01, 5.315834e-01
367, 2.227867e-01, 5.457567e-02, 7.153545e-01
368, 3.516847e-01, 1.643327e-01, 4.517267e-01
369, 2.451767e-01, 7.033575e-01, 3.898738e-01
370, 6.877458e-01, 6.785470e-02, 6.870729e-02
371, 2.721443e-01, 6.090313e-01, 1.430823e-01
372, 3.242981e-01, 5.728046e-01, 2.349389e-03
373, 3.665547e-01, 8.727685e-02, 7.270356e-01
374, 1.148330e-01, 9.315220e-03, 5.569162e-01
375, 9.124643e-02, 1.456189e-01, 6.306192e-01
376, 1.775076e-01, 4.165540e-01, 1.199486e-01
377, 2.751313e-01, 7.450457e-01, 2.911128e-01
378, 1.921354e-01, 7.172701e-01, 2.417717e-01
379, 3.438394e-01, 2.059058e-01, 4.125566e-01
380, 1.425811e-01, 2.434819e-02, 5.417102e-01
381, 5.015840e-01, 5.682508e-01, 4.016991e-01
382, 4.041082e-01, 2.336932e-01, 3.894421e-01
383, 1.758378e-01, 1.771900e-01, 6.969388e-01
384, 1.475122e-01, 6.077447e-02, 5.998356e-01
385, 4.843412e-01, 4.676532e-01, 2.112556e-01
386, 5.102372e-01, 3.443769e-01, 5.102319e-01
387, 2.673441e-01, 4.849543e-01, 6.373408e-01
388, 2.982541e-01, 3.226488e-01, 7.176777e-01
389, 1.012467e-01, 4.443384e-01, 2.983672e-01
390, 5.849093e-01, 3.004989e-02, 4.269356e-01
391, 6.361345e-01, 1.097785e-01, 2.778496e-01
392, 2.619461e-01, 2.330979e-01, 7.888368e-01
393, 3.107389e-01, 1.525434e-01, 4.437909e-01
394, 5.204452e-02, 5.964255e-03, 6.654433e-01
395, 6.237779e-01, 2.372472e-01, 5.188068e-01
396, 1.807293e-01, 6.384579e-01, 3.976943e-01
397, 3.448923e-01, 1.000628e-01, 2.804171e-01
398, 6.036010e-02, 2.842824e-01, 7.977019e-01
399, 7.917403e-02, 5.337777e-01, 2.820264e-01
400, 7.353708e-01, 1.424636e-01, 3.979606e-02
401, 2.452641e-01, 1.085288e-01, 5.801718e-01
402, 1.114522e-01, 1.280121e-01, 5.744765e-01
403, 1.955410e-01, 5.842273e-01, 2.498925e-01
404, 3.945994e-01, 8.912128e-02, 3.160918e-01
405, 4.679372e-03, 2.252037e-02, 6.910917e-01
406, 9.544331e-02, 3.825649e-03, 8.208448e-01
407, 1.353782e-01, 2.014023e-01, 5.047547e-01
408, 6.416845e-01, 3.497454e-01, 2.653689e-01
409, 2.042592e-01, 6.890042e-01, 7.248842e-03
410, 2.229660e-01, 2.175972e-01, 3.992572e-01
411, 5.435000e-02, 5.787359e-01, 9.823986e-02
412, 2.803438e-01, 5.055360e-01, 4.217106e-01
413, 2.796927e-01, 3.604364e-01, 3.211725e-01
414, 3.215842e-01, 3.936318e-01, 6.566131e-01
415, 4.051310e-01, 1.585957e-01, 2.280156e-01
416, 8.513600e-01, 6.685488e-02, 3.207384e-02
417, 4.530959e-01, 2.114989e-01, 1.454927e-01
418, 6.084190e-03, 5.368446e-01, 3.327187e-01
419, 6.731805e-01, 2.251893e-01, 1.046017e-01
420, 5.988412e-01, 3.217769e-01, 1.530105e-01
421, 1.541085e-01, 1.313002e-01, 5.577575e-01
422, 4.757068e-01, 3.503010e-01, 5.134607e-01
423, 1.849301e-01, 9.573734e-03, 4.964117e-01
424, 1.043537e-01, 4.260730e-02, 4.646658e-01
425, 2.089497e-01, 5.805290e-01, 1.716218e-01
426, 3.071324e-01, 3.409517e-01, 3.910421e-01
427, 4.699549e-02, 2.749840e-02, 7.756883e-01
428, 4.647711e-02, 7.886808e-01, 1.818837e-01
429, 1.233341e-01, 6.323799e-02, 7.271282e-01
430, 3.075574e-01, 2.568651e-01, 4.225720e-01
431, 1.217064e-01, 3.668917e-01, 3.321369e-01
432, 6.424286e-02, 2.529060e-01, 4.607364e-01
433, 6.867408e-02, 3.519185e-01, 4.987665e-01
434, 4.948486e-01, 1.957325e-01, 1.850923e-02
435, 5.959778e-01, 5.912427e-02, 5.328260e-01
436, 3.209318e-01, 5.931379e-01, 7.677060e-02
437, 6.194167e-01, 2.092174e-01, 7.266740e-02
438, 4.997311e-01, 5.521032e-01, 3.968429e-01
439, 1.787396e-01, 1.457912e-01, 4.271622e-01
440, 1.175943e-01, 3.134949e-01, 4.146674e-01
441, 8.978299e-02, 2.233020e-01, 6.236781e-01
442, 1.934078e-01, 3.581703e-01, 6.492734e-01
443, 3.457683e-01, 3.628630e-01, 3.214930e-01
444, 7.150272e-02, 1.881458e-01, 6.345593e-01
445, 1.790818e-01, 4.760548e-02, 6.635418e-01
446, 3.307336e-02, 7.693957e-01, 2.396181e-01
447, 4.071097e-01, 7.810563e-02, 6.900484e-01
448, 4.133488e-01, 4.258217e-01, 6.247057e-01
449, 2.637992e-01, 8.150949e-02, 3.804873e-01
450, 3.759538e-01, 5.115553e-01, 1.178614e-01
451, 2.983831e-01, 2.302870e-02, 6.151011e-01
452, 8.194538e-02, 4.197957e-01, 3.264502e-01
453, 1.402024e-01, 1.192878e-01, 8.376467e-01
454, 7.236093e-01, 3.696380e-01, 3.057058e-01
455, 4.625565e-01, 3.070725e-01, 3.612738e-02
456, 3.819173e-01, 6.424952e-02, 6.574883e-01
457, 3.237429e-01, 3.973665e-01, 6.372606e-01
458, 1.409106e-01, 5.342324e-01, 4.749735e-02
459, 7.576588e-03, 1.643529e-01, 4.983843e-01
460, 5.111851e-02, 5.635253e-02, 6.676338e-01
461, 2.719183e-01, 6.268859e-02, 6.484611e-01
462, 1.150230e-01, 2.886563e-01, 4.103093e-01
463, 4.012743e-01, 2.665292e-01, 4.386861e-01
464, 2.292565e-01, 2.855369e-01, 3.972137e-01
465, 5.987499e-01, 4.344173e-01, 4.862630e-02
466, 5.363822e-02, 5.229753e-01, 1.942726e-01
467, 4.075604e-01, 2.958638e-01, 4.582393e-01
468, 7.811231e-01, 3.028188e-01, 7.355733e-03
469, 2.572252e-01, 3.736312e-01, 3.030293e-01
470, 1.305116e-01, 1.096975e-01, 5.030144e-01
471, 7.618483e-01, 4.897046e-02, 9.342422e-02
472, 4.082991e-01, 1.895820e-01, 4.559950e-01
473, 3.644421e-01, 5.734513e-01, 2.817304e-02
474, 1.399742e-01, 3.977394e-01, 5.468716e-01
475, 1.224249e-01, 1.403191e-01, 7.695168e-01
476, 3.405678e-02, 4.248893e-01, 4.228788e-01
477, 4.535459e-01, 3.150985e-02, 4.951290e-01
478, 2.523747e-01, 2.708892e-01, 3.638571e-01
479, 6.522747e-01, 1.398160e-01, 4.985665e-02
480, 9.150771e-02, 3.339102e-01, 5.092896e-01
