index, a_1, a_2, a_3
42, 1.000000e+00, 9.428432e-01, 5.972315e-01
43, 1.000000e+00, 3.739135e-01, 3.222338e-01
44, 1.000000e+00, 5.780991e-01, 3.958074e-01
45, 1.000000e+00, 3.820998e-02, 2.478963e-02
46, 1.000000e+00, 3.230784e-01, 1.646250e-01
47, 1.000000e+00, 5.818353e-02, 1.125187e-02
48, 1.000000e+00, 6.124100e-01, 4.163533e-01
49, 1.000000e+00, 1.106900e-01, 1.045236e-01
50, 1.000000e+00, 8.801956e-01, 2.192985e-01
51, 1.000000e+00, 7.819709e-02, 7.307214e-02
52, 1.000000e+00, 5.353828e-01, 5.301090e-01
53, 1.000000e+00, 1.747697e-01, 1.484581e-01
54, 1.000000e+00, 8.059492e-01, 3.729434e-02
55, 1.000000e+00, 9.146179e-02, 1.578329e-02
56, 1.000000e+00, 1.735158e-01, 9.953249e-02
57, 1.000000e+00, 1.249364e-01, 6.010341e-03
58, 1.000000e+00, 6.978104e-01, 4.247781e-01
59, 1.000000e+00, 6.297166e-01, 6.070413e-01
60, 1.000000e+00, 1.617530e-01, 1.073448e-01
61, 1.000000e+00, 1.880498e-01, 1.421406e-01
62, 1.000000e+00, 2.209883e-01, 1.256184e-01
63, 1.000000e+00, 2.282181e-02, 1.935755e-03
64, 1.000000e+00, 5.065930e-01, 7.981723e-03
65, 1.000000e+00, 9.850293e-01, 1.298676e-02
66, 1.000000e+00, 5.286936e-01, 3.480047e-01
67, 1.000000e+00, 4.259170e-01, 2.350300e-01
68, 1.000000e+00, 8.762947e-01, 3.510461e-01
69, 1.000000e+00, 7.520813e-01, 1.737889e-01
70, 1.000000e+00, 4.223841e-01, 4.622670e-02
71, 1.000000e+00, 7.855030e-01, 9.079444e-02
72, 1.000000e+00, 1.504062e-01, 1.037332e-01
73, 1.000000e+00, 3.860827e-01, 2.573354e-01
74, 1.000000e+00, 8.984945e-01, 8.503185e-01
75, 1.000000e+00, 3.132545e-01, 2.960182e-01
76, 1.000000e+00, 9.556982e-01, 4.318176e-01
77, 1.000000e+00, 9.009348e-01, 1.035511e-01
78, 1.000000e+00, 4.922356e-01, 7.171075e-02
79, 1.000000e+00, 9.262122e-01, 5.021125e-01
80, 1.000000e+00, 5.316965e-02, 4.891660e-02
81, 1.000000e+00, 7.424971e-01, 6.401717e-01
82, 1.000000e+00, 7.980176e-01, 1.549289e-01
83, 1.000000e+00, 3.725913e-01, 1.588980e-01
84, 1.000000e+00, 2.748514e-01, 2.164113e-01
85, 1.000000e+00, 8.730471e-01, 3.565940e-01
86, 1.000000e+00, 1.876529e-01, 2.366602e-02
87, 1.000000e+00, 2.943097e-01, 1.097997e-01
88, 1.000000e+00, 1.207550e-01, 1.426950e-02
89, 1.000000e+00, 6.586861e-01, 4.540271e-01
90, 1.000000e+00, 3.073925e-01, 2.679120e-01
91, 1.000000e+00, 1.107692e-01, 7.709124e-02
92, 1.000000e+00, 3.754361e-01, 2.597063e-01
93, 1.000000e+00, 2.988418e-01, 7.275581e-02
94, 1.000000e+00, 2.617345e-01, 1.404925e-01
95, 1.000000e+00, 8.787130e-02, 5.524529e-03
96, 1.000000e+00, 9.698552e-01, 7.422115e-01
97, 1.000000e+00, 5.093484e-01, 6.749103e-02
98, 1.000000e+00, 3.566399e-02, 2.985377e-02
99, 1.000000e+00, 9.126386e-01, 6.958006e-01
